Production,dayOfYear,month_number,Hour,hour_sinhalf
2525.0,13,1,3,0.39840108984624145
2630.0,13,1,4,0.5195839500354336
2717.0,13,1,5,0.6310879443260529
2983.0,13,1,6,0.730835964278124
3293.0,13,1,7,0.816969893010442
3774.0,13,1,8,0.8878852184023752
4281.0,13,1,9,0.9422609221188204
4309.0,13,1,10,0.9790840876823229
4851.0,13,1,11,0.9976687691905392
5926.0,13,1,12,0.9976687691905392
6790.0,13,1,13,0.9790840876823229
7459.0,13,1,14,0.9422609221188205
8009.0,13,1,15,0.8878852184023752
8774.0,13,1,16,0.8169698930104421
9873.0,13,1,17,0.7308359642781239
10854.0,13,1,18,0.631087944326053
11446.0,13,1,19,0.5195839500354339
11677.0,13,1,20,0.3984010898462414
11941.0,13,1,21,0.2697967711570243
11828.0,13,1,22,0.1361666490962471
12074.0,13,1,23,1.2246467991473532e-16
12196.0,14,1,0,0.0
12210.0,14,1,1,0.1361666490962466
12253.0,14,1,2,0.2697967711570243
12348.0,14,1,3,0.39840108984624145
12270.0,14,1,4,0.5195839500354336
11950.0,14,1,5,0.6310879443260529
11654.0,14,1,6,0.730835964278124
11747.0,14,1,7,0.816969893010442
11762.0,14,1,8,0.8878852184023752
11915.0,14,1,9,0.9422609221188204
12267.0,14,1,10,0.9790840876823229
12536.0,14,1,11,0.9976687691905392
12685.0,14,1,12,0.9976687691905392
12670.0,14,1,13,0.9790840876823229
12723.0,14,1,14,0.9422609221188205
12783.0,14,1,15,0.8878852184023752
12661.0,14,1,16,0.8169698930104421
12632.0,14,1,17,0.7308359642781239
12714.0,14,1,18,0.631087944326053
12740.0,14,1,19,0.5195839500354339
12743.0,14,1,20,0.3984010898462414
12676.0,14,1,21,0.2697967711570243
12359.0,14,1,22,0.1361666490962471
11931.0,14,1,23,1.2246467991473532e-16
11917.0,15,1,0,0.0
12001.0,15,1,1,0.1361666490962466
12216.0,15,1,2,0.2697967711570243
12348.0,15,1,3,0.39840108984624145
12457.0,15,1,4,0.5195839500354336
12553.0,15,1,5,0.6310879443260529
12603.0,15,1,6,0.730835964278124
12852.0,15,1,7,0.816969893010442
12795.0,15,1,8,0.8878852184023752
12401.0,15,1,9,0.9422609221188204
12160.0,15,1,10,0.9790840876823229
12176.0,15,1,11,0.9976687691905392
12185.0,15,1,12,0.9976687691905392
11590.0,15,1,13,0.9790840876823229
10515.0,15,1,14,0.9422609221188205
9044.0,15,1,15,0.8878852184023752
7778.0,15,1,16,0.8169698930104421
6747.0,15,1,17,0.7308359642781239
5738.0,15,1,18,0.631087944326053
5306.0,15,1,19,0.5195839500354339
4999.0,15,1,20,0.3984010898462414
4741.0,15,1,21,0.2697967711570243
4413.0,15,1,22,0.1361666490962471
3911.0,15,1,23,1.2246467991473532e-16
