Source,Production,dayOfYear,month_number,Hour,month_sinhalf,hour_sinhalf
1,2383.0,6,1,1,0.25881904510252074,0.1361666490962466
0,0.0,6,1,1,0.25881904510252074,0.1361666490962466
0,0.0,6,1,2,0.49999999999999994,0.2697967711570243
1,2405.0,6,1,2,0.49999999999999994,0.2697967711570243
1,2370.0,6,1,3,0.7071067811865476,0.39840108984624145
0,0.0,6,1,3,0.7071067811865476,0.39840108984624145
1,2432.0,6,1,4,0.8660254037844386,0.5195839500354336
0,0.0,6,1,4,0.8660254037844386,0.5195839500354336
1,2725.0,6,1,5,0.9659258262890683,0.6310879443260529
0,0.0,6,1,5,0.9659258262890683,0.6310879443260529
0,0.0,6,1,6,1.0,0.730835964278124
1,3131.0,6,1,6,1.0,0.730835964278124
0,0.0,6,1,7,0.9659258262890683,0.816969893010442
1,3619.0,6,1,7,0.9659258262890683,0.816969893010442
0,27.0,6,1,8,0.8660254037844387,0.8878852184023752
1,4316.0,6,1,8,0.8660254037844387,0.8878852184023752
0,370.0,6,1,9,0.7071067811865476,0.9422609221188204
1,5005.0,6,1,9,0.7071067811865476,0.9422609221188204
1,4739.0,6,1,10,0.49999999999999994,0.9790840876823229
0,993.0,6,1,10,0.49999999999999994,0.9790840876823229
1,4124.0,6,1,11,0.258819045102521,0.9976687691905392
0,1529.0,6,1,11,0.258819045102521,0.9976687691905392
0,1818.0,6,1,12,1.2246467991473532e-16,0.9976687691905392
1,3690.0,6,1,12,1.2246467991473532e-16,0.9976687691905392
0,1851.0,6,1,13,-0.2588190451025208,0.9790840876823229
1,3466.0,6,1,13,-0.2588190451025208,0.9790840876823229
0,1593.0,6,1,14,-0.4999999999999997,0.9422609221188205
1,3468.0,6,1,14,-0.4999999999999997,0.9422609221188205
0,1038.0,6,1,15,-0.7071067811865471,0.8878852184023752
1,3395.0,6,1,15,-0.7071067811865471,0.8878852184023752
0,338.0,6,1,16,-0.8660254037844385,0.8169698930104421
1,3989.0,6,1,16,-0.8660254037844385,0.8169698930104421
0,22.0,6,1,17,-0.9659258262890683,0.7308359642781239
1,5029.0,6,1,17,-0.9659258262890683,0.7308359642781239
1,5474.0,6,1,18,-1.0,0.631087944326053
0,3.0,6,1,18,-1.0,0.631087944326053
0,1.0,6,1,19,-0.9659258262890684,0.5195839500354339
1,5724.0,6,1,19,-0.9659258262890684,0.5195839500354339
1,6409.0,6,1,20,-0.8660254037844386,0.3984010898462414
0,0.0,6,1,20,-0.8660254037844386,0.3984010898462414
1,6617.0,6,1,21,-0.7071067811865477,0.2697967711570243
0,0.0,6,1,21,-0.7071067811865477,0.2697967711570243
0,0.0,6,1,22,-0.5000000000000004,0.1361666490962471
1,6129.0,6,1,22,-0.5000000000000004,0.1361666490962471
1,5843.0,6,1,23,-0.25881904510252157,1.2246467991473532e-16
0,0.0,6,1,23,-0.25881904510252157,1.2246467991473532e-16
0,0.0,7,1,0,0.0,0.0
1,5544.0,7,1,0,0.0,0.0
1,5145.0,7,1,1,0.25881904510252074,0.1361666490962466
0,0.0,7,1,1,0.25881904510252074,0.1361666490962466
1,4496.0,7,1,2,0.49999999999999994,0.2697967711570243
0,0.0,7,1,2,0.49999999999999994,0.2697967711570243
1,3979.0,7,1,3,0.7071067811865476,0.39840108984624145
0,0.0,7,1,3,0.7071067811865476,0.39840108984624145
1,3611.0,7,1,4,0.8660254037844386,0.5195839500354336
0,0.0,7,1,4,0.8660254037844386,0.5195839500354336
1,3292.0,7,1,5,0.9659258262890683,0.6310879443260529
0,0.0,7,1,5,0.9659258262890683,0.6310879443260529
1,3127.0,7,1,6,1.0,0.730835964278124
0,0.0,7,1,6,1.0,0.730835964278124
1,2927.0,7,1,7,0.9659258262890683,0.816969893010442
0,0.0,7,1,7,0.9659258262890683,0.816969893010442
1,3031.0,7,1,8,0.8660254037844387,0.8878852184023752
0,18.0,7,1,8,0.8660254037844387,0.8878852184023752
1,2999.0,7,1,9,0.7071067811865476,0.9422609221188204
0,199.0,7,1,9,0.7071067811865476,0.9422609221188204
1,2916.0,7,1,10,0.49999999999999994,0.9790840876823229
0,499.0,7,1,10,0.49999999999999994,0.9790840876823229
1,2982.0,7,1,11,0.258819045102521,0.9976687691905392
0,787.0,7,1,11,0.258819045102521,0.9976687691905392
1,3063.0,7,1,12,1.2246467991473532e-16,0.9976687691905392
0,1054.0,7,1,12,1.2246467991473532e-16,0.9976687691905392
0,1127.0,7,1,13,-0.2588190451025208,0.9790840876823229
1,3161.0,7,1,13,-0.2588190451025208,0.9790840876823229
0,937.0,7,1,14,-0.4999999999999997,0.9422609221188205
1,3287.0,7,1,14,-0.4999999999999997,0.9422609221188205
1,3655.0,7,1,15,-0.7071067811865471,0.8878852184023752
0,558.0,7,1,15,-0.7071067811865471,0.8878852184023752
1,3989.0,7,1,16,-0.8660254037844385,0.8169698930104421
0,200.0,7,1,16,-0.8660254037844385,0.8169698930104421
0,15.0,7,1,17,-0.9659258262890683,0.7308359642781239
1,4531.0,7,1,17,-0.9659258262890683,0.7308359642781239
1,4976.0,7,1,18,-1.0,0.631087944326053
0,1.0,7,1,18,-1.0,0.631087944326053
1,5536.0,7,1,19,-0.9659258262890684,0.5195839500354339
0,0.0,7,1,19,-0.9659258262890684,0.5195839500354339
0,0.0,7,1,20,-0.8660254037844386,0.3984010898462414
1,5577.0,7,1,20,-0.8660254037844386,0.3984010898462414
0,0.0,7,1,21,-0.7071067811865477,0.2697967711570243
1,5513.0,7,1,21,-0.7071067811865477,0.2697967711570243
1,5467.0,7,1,22,-0.5000000000000004,0.1361666490962471
0,0.0,7,1,22,-0.5000000000000004,0.1361666490962471
