Production,dayOfYear,month_sinhalf,hour_sinhalf
0.0,12,0.49999999999999994,0.2697967711570243
0.0,12,0.7071067811865476,0.39840108984624145
0.0,12,0.8660254037844386,0.5195839500354336
0.0,12,0.9659258262890683,0.6310879443260529
0.0,12,1.0,0.730835964278124
0.0,12,0.9659258262890683,0.816969893010442
40.0,12,0.8660254037844387,0.8878852184023752
518.0,12,0.7071067811865476,0.9422609221188204
1301.0,12,0.49999999999999994,0.9790840876823229
1842.0,12,0.258819045102521,0.9976687691905392
2034.0,12,1.2246467991473532e-16,0.9976687691905392
1983.0,12,-0.2588190451025208,0.9790840876823229
1703.0,12,-0.4999999999999997,0.9422609221188205
1108.0,12,-0.7071067811865471,0.8878852184023752
405.0,12,-0.8660254037844385,0.8169698930104421
33.0,12,-0.9659258262890683,0.7308359642781239
2.0,12,-1.0,0.631087944326053
0.0,12,-0.9659258262890684,0.5195839500354339
0.0,12,-0.8660254037844386,0.3984010898462414
0.0,12,-0.7071067811865477,0.2697967711570243
0.0,12,-0.5000000000000004,0.1361666490962471
0.0,12,-0.25881904510252157,1.2246467991473532e-16
0.0,13,0.0,0.0
0.0,13,0.25881904510252074,0.1361666490962466
0.0,13,0.49999999999999994,0.2697967711570243
0.0,13,0.7071067811865476,0.39840108984624145
0.0,13,0.8660254037844386,0.5195839500354336
0.0,13,0.9659258262890683,0.6310879443260529
0.0,13,1.0,0.730835964278124
0.0,13,0.9659258262890683,0.816969893010442
42.0,13,0.8660254037844387,0.8878852184023752
386.0,13,0.7071067811865476,0.9422609221188204
910.0,13,0.49999999999999994,0.9790840876823229
1402.0,13,0.258819045102521,0.9976687691905392
1783.0,13,1.2246467991473532e-16,0.9976687691905392
1877.0,13,-0.2588190451025208,0.9790840876823229
1630.0,13,-0.4999999999999997,0.9422609221188205
1048.0,13,-0.7071067811865471,0.8878852184023752
392.0,13,-0.8660254037844385,0.8169698930104421
48.0,13,-0.9659258262890683,0.7308359642781239
2.0,13,-1.0,0.631087944326053
0.0,13,-0.9659258262890684,0.5195839500354339
0.0,13,-0.8660254037844386,0.3984010898462414
0.0,13,-0.7071067811865477,0.2697967711570243
0.0,13,-0.5000000000000004,0.1361666490962471
0.0,13,-0.25881904510252157,1.2246467991473532e-16
0.0,14,0.0,0.0
0.0,14,0.25881904510252074,0.1361666490962466
0.0,14,0.49999999999999994,0.2697967711570243
0.0,14,0.7071067811865476,0.39840108984624145
0.0,14,0.8660254037844386,0.5195839500354336
0.0,14,0.9659258262890683,0.6310879443260529
0.0,14,1.0,0.730835964278124
0.0,14,0.9659258262890683,0.816969893010442
23.0,14,0.8660254037844387,0.8878852184023752
324.0,14,0.7071067811865476,0.9422609221188204
888.0,14,0.49999999999999994,0.9790840876823229
1402.0,14,0.258819045102521,0.9976687691905392
1555.0,14,1.2246467991473532e-16,0.9976687691905392
1591.0,14,-0.2588190451025208,0.9790840876823229
1358.0,14,-0.4999999999999997,0.9422609221188205
1057.0,14,-0.7071067811865471,0.8878852184023752
491.0,14,-0.8660254037844385,0.8169698930104421
63.0,14,-0.9659258262890683,0.7308359642781239
2.0,14,-1.0,0.631087944326053
1.0,14,-0.9659258262890684,0.5195839500354339
1.0,14,-0.8660254037844386,0.3984010898462414
0.0,14,-0.7071067811865477,0.2697967711570243
0.0,14,-0.5000000000000004,0.1361666490962471
0.0,14,-0.25881904510252157,1.2246467991473532e-16
0.0,15,0.0,0.0
0.0,15,0.25881904510252074,0.1361666490962466
0.0,15,0.49999999999999994,0.2697967711570243
0.0,15,0.7071067811865476,0.39840108984624145
0.0,15,0.8660254037844386,0.5195839500354336
0.0,15,0.9659258262890683,0.6310879443260529
0.0,15,1.0,0.730835964278124
0.0,15,0.9659258262890683,0.816969893010442
17.0,15,0.8660254037844387,0.8878852184023752
245.0,15,0.7071067811865476,0.9422609221188204
737.0,15,0.49999999999999994,0.9790840876823229
1148.0,15,0.258819045102521,0.9976687691905392
1474.0,15,1.2246467991473532e-16,0.9976687691905392
1277.0,15,-0.2588190451025208,0.9790840876823229
892.0,15,-0.4999999999999997,0.9422609221188205
572.0,15,-0.7071067811865471,0.8878852184023752
211.0,15,-0.8660254037844385,0.8169698930104421
24.0,15,-0.9659258262890683,0.7308359642781239
1.0,15,-1.0,0.631087944326053
0.0,15,-0.9659258262890684,0.5195839500354339
0.0,15,-0.8660254037844386,0.3984010898462414
0.0,15,-0.7071067811865477,0.2697967711570243
0.0,15,-0.5000000000000004,0.1361666490962471
0.0,15,-0.25881904510252157,1.2246467991473532e-16
0.0,16,0.0,0.0
0.0,16,0.25881904510252074,0.1361666490962466
0.0,16,0.49999999999999994,0.2697967711570243
0.0,16,0.7071067811865476,0.39840108984624145
0.0,16,0.8660254037844386,0.5195839500354336
0.0,16,0.9659258262890683,0.6310879443260529
0.0,16,1.0,0.730835964278124
0.0,16,0.9659258262890683,0.816969893010442
32.0,16,0.8660254037844387,0.8878852184023752
503.0,16,0.7071067811865476,0.9422609221188204
1344.0,16,0.49999999999999994,0.9790840876823229
1959.0,16,0.258819045102521,0.9976687691905392
2141.0,16,1.2246467991473532e-16,0.9976687691905392
2116.0,16,-0.2588190451025208,0.9790840876823229
1830.0,16,-0.4999999999999997,0.9422609221188205
1296.0,16,-0.7071067811865471,0.8878852184023752
565.0,16,-0.8660254037844385,0.8169698930104421
66.0,16,-0.9659258262890683,0.7308359642781239
2.0,16,-1.0,0.631087944326053
1.0,16,-0.9659258262890684,0.5195839500354339
1.0,16,-0.8660254037844386,0.3984010898462414
0.0,16,-0.7071067811865477,0.2697967711570243
0.0,16,-0.5000000000000004,0.1361666490962471
0.0,16,-0.25881904510252157,1.2246467991473532e-16
0.0,17,0.0,0.0
0.0,17,0.25881904510252074,0.1361666490962466
0.0,17,0.49999999999999994,0.2697967711570243
0.0,17,0.7071067811865476,0.39840108984624145
0.0,17,0.8660254037844386,0.5195839500354336
0.0,17,0.9659258262890683,0.6310879443260529
0.0,17,1.0,0.730835964278124
0.0,17,0.9659258262890683,0.816969893010442
7.0,17,0.8660254037844387,0.8878852184023752
91.0,17,0.7071067811865476,0.9422609221188204
247.0,17,0.49999999999999994,0.9790840876823229
402.0,17,0.258819045102521,0.9976687691905392
692.0,17,1.2246467991473532e-16,0.9976687691905392
820.0,17,-0.2588190451025208,0.9790840876823229
815.0,17,-0.4999999999999997,0.9422609221188205
669.0,17,-0.7071067811865471,0.8878852184023752
337.0,17,-0.8660254037844385,0.8169698930104421
50.0,17,-0.9659258262890683,0.7308359642781239
1.0,17,-1.0,0.631087944326053
0.0,17,-0.9659258262890684,0.5195839500354339
0.0,17,-0.8660254037844386,0.3984010898462414
0.0,17,-0.7071067811865477,0.2697967711570243
0.0,17,-0.5000000000000004,0.1361666490962471
0.0,17,-0.25881904510252157,1.2246467991473532e-16
0.0,18,0.0,0.0
0.0,18,0.25881904510252074,0.1361666490962466
0.0,18,0.49999999999999994,0.2697967711570243
0.0,18,0.7071067811865476,0.39840108984624145
0.0,18,0.8660254037844386,0.5195839500354336
0.0,18,0.9659258262890683,0.6310879443260529
0.0,18,1.0,0.730835964278124
0.0,18,0.9659258262890683,0.816969893010442
37.0,18,0.8660254037844387,0.8878852184023752
375.0,18,0.7071067811865476,0.9422609221188204
